date,traffic,no,no2,nox,pm10,pm25,station_id
2020-01-15,30000.0,65.0,55.0,81.0,43.0,,Chiasso
2020-02-15,26000.0,26.0,43.0,43.0,36.0,,Chiasso
2020-03-15,8400.0,9.0,27.0,22.0,25.0,,Chiasso
2020-04-15,4900.0,3.0,18.0,12.0,22.0,,Chiasso
2020-05-15,9100.0,2.0,11.0,7.0,13.0,,Chiasso
2020-06-15,20000.0,2.0,12.0,8.0,10.0,,Chiasso
2020-07-15,33000.0,2.0,14.0,9.0,14.0,,Chiasso
2020-08-15,34000.0,2.0,13.0,8.0,12.0,,Chiasso
2020-09-15,35000.0,5.0,21.0,15.0,16.0,,Chiasso
2020-10-15,26000.0,15.0,27.0,26.0,15.0,,Chiasso
2020-11-15,14100.0,33.0,39.0,47.0,46.0,,Chiasso
2020-12-15,12900.0,36.0,39.0,49.0,25.0,,Chiasso
2021-01-15,12200.0,27.0,43.0,44.0,30.0,,Chiasso
2021-02-15,15000.0,23.0,39.0,39.0,44.0,,Chiasso
2021-03-15,13400.0,12.0,37.0,29.0,32.0,,Chiasso
2021-04-15,15800.0,5.0,25.0,17.0,21.0,,Chiasso
2021-05-15,22000.0,3.0,15.0,10.0,9.0,,Chiasso
2021-06-15,24000.0,2.0,15.0,9.0,18.0,,Chiasso
2021-07-15,30000.0,2.0,15.0,10.0,13.0,,Chiasso
2021-08-15,31000.0,2.0,15.0,10.0,13.0,,Chiasso
2021-09-15,27000.0,5.0,23.0,16.0,18.0,,Chiasso
2021-10-15,25000.0,18.0,31.0,30.0,24.0,,Chiasso
2021-11-15,22000.0,28.0,36.0,41.0,21.0,,Chiasso
2021-12-15,23000.0,60.0,51.0,75.0,36.0,,Chiasso
2022-01-15,21000.0,42.0,48.0,59.0,42.0,,Chiasso
2022-02-15,24000.0,24.0,43.0,41.0,31.0,,Chiasso
2022-03-15,24000.0,9.0,42.0,29.0,44.0,,Chiasso
2022-04-15,28000.0,4.0,25.0,17.0,19.0,,Chiasso
2022-05-15,29000.0,3.0,17.0,11.0,17.0,,Chiasso
2022-06-15,36000.0,2.0,16.0,10.0,19.0,,Chiasso
2022-07-15,43000.0,1.0,15.0,9.0,17.0,,Chiasso
2022-08-15,39000.0,2.0,17.0,10.0,12.0,,Chiasso
2022-09-15,36250.0,4.0,22.0,15.0,11.0,,Chiasso
2022-10-15,33500.0,18.0,28.0,29.0,24.0,,Chiasso
2022-11-15,30750.0,31.0,36.0,43.0,20.0,,Chiasso
2022-12-15,28000.0,39.0,38.0,52.0,32.0,,Chiasso
2023-01-15,28000.0,27.0,37.0,41.0,28.0,,Chiasso
2023-02-15,28000.0,22.0,41.0,39.0,40.0,,Chiasso
2023-03-15,24000.0,10.0,32.0,25.0,25.0,,Chiasso
2023-04-15,28000.0,5.0,23.0,16.0,14.0,,Chiasso
2023-05-15,31000.0,3.0,16.0,11.0,12.0,,Chiasso
2023-06-15,36000.0,2.0,12.0,8.0,16.0,,Chiasso
2023-07-15,44000.0,2.0,14.0,9.0,17.0,,Chiasso
2023-08-15,42000.0,2.0,13.0,9.0,15.0,,Chiasso
2023-09-15,33000.0,5.0,21.0,15.0,16.0,,Chiasso
2023-10-15,27000.0,10.0,26.0,21.0,21.0,,Chiasso
2023-11-15,23000.0,24.0,34.0,37.0,17.0,,Chiasso
2023-12-15,29000.0,40.0,39.0,52.0,27.0,,Chiasso
2024-01-15,28000.0,37.0,43.0,52.0,34.0,,Chiasso
2024-02-15,25000.0,26.0,39.0,41.0,33.0,,Chiasso
2024-03-15,25000.0,8.0,27.0,20.0,19.0,,Chiasso
2024-04-15,27000.0,6.0,24.0,18.0,14.0,,Chiasso
2024-05-15,33000.0,2.0,16.0,10.0,9.0,,Chiasso
2024-06-15,35000.0,2.0,12.0,8.0,15.0,,Chiasso
2024-07-15,42000.0,2.0,12.0,8.0,17.0,,Chiasso
2024-08-15,42000.0,3.0,14.0,9.0,17.0,,Chiasso
2024-09-15,39000.0,3.0,17.0,12.0,10.0,,Chiasso
2024-10-15,35000.0,13.0,23.0,23.0,15.0,,Chiasso
2024-11-15,29000.0,30.0,36.0,42.0,32.0,,Chiasso
2024-12-15,31000.0,38.0,40.0,52.0,30.0,,Chiasso
