date,traffic,no,no2,nox,pm10,pm25,station_id
2020-01-15,11800.0,49.0,52.0,66.0,38.0,29.0,Mendrisio
2020-02-15,12400.0,22.0,41.0,40.0,34.0,26.0,Mendrisio
2020-03-15,7200.0,6.0,21.0,16.0,24.0,17.0,Mendrisio
2020-04-15,5500.0,3.0,15.0,10.0,22.0,15.0,Mendrisio
2020-05-15,9300.0,4.0,13.0,10.0,14.0,8.0,Mendrisio
2020-06-15,11700.0,4.0,15.0,12.0,11.0,6.0,Mendrisio
2020-07-15,13900.0,4.0,19.0,13.0,16.0,9.0,Mendrisio
2020-08-15,11900.0,4.0,18.0,13.0,12.0,7.0,Mendrisio
2020-09-15,13900.0,7.0,26.0,19.0,16.0,10.0,Mendrisio
2020-10-15,13000.0,16.0,27.0,27.0,14.0,10.0,Mendrisio
2020-11-15,10700.0,28.0,35.0,41.0,,15.0,Mendrisio
2020-12-15,9300.0,27.0,35.0,40.0,25.0,20.0,Mendrisio
2021-01-15,8300.0,19.0,33.0,33.0,28.0,22.0,Mendrisio
2021-02-15,10100.0,17.0,35.0,32.0,44.0,29.0,Mendrisio
2021-03-15,11600.0,11.0,31.0,25.0,32.0,22.0,Mendrisio
2021-04-15,11900.0,7.0,23.0,17.0,22.0,14.0,Mendrisio
2021-05-15,12300.0,5.0,16.0,12.0,10.0,5.0,Mendrisio
2021-06-15,13700.0,4.0,16.0,12.0,18.0,10.0,Mendrisio
2021-07-15,14200.0,5.0,17.0,13.0,13.0,8.0,Mendrisio
2021-08-15,12300.0,4.0,15.0,11.0,13.0,7.0,Mendrisio
2021-09-15,13600.0,7.0,24.0,18.0,18.0,12.0,Mendrisio
2021-10-15,13200.0,17.0,30.0,29.0,24.0,19.0,Mendrisio
2021-11-15,11800.0,23.0,33.0,36.0,19.0,15.0,Mendrisio
2021-12-15,10700.0,46.0,45.0,61.0,34.0,27.0,Mendrisio
2022-01-15,9600.0,33.0,42.0,48.0,38.0,31.0,Mendrisio
2022-02-15,11800.0,21.0,39.0,37.0,30.0,22.0,Mendrisio
2022-03-15,12100.0,11.0,38.0,29.0,45.0,33.0,Mendrisio
2022-04-15,12300.0,9.0,28.0,22.0,21.0,14.0,Mendrisio
2022-05-15,12900.0,6.0,19.0,15.0,19.0,10.0,Mendrisio
2022-06-15,13100.0,6.0,20.0,15.0,20.0,10.0,Mendrisio
2022-07-15,12800.0,5.0,27.0,18.0,18.0,10.0,Mendrisio
2022-08-15,11900.0,4.0,23.0,15.0,13.0,7.0,Mendrisio
2022-09-15,13000.0,8.0,24.0,18.0,12.0,7.0,Mendrisio
2022-10-15,12200.0,13.0,27.0,25.0,26.0,18.0,Mendrisio
2022-11-15,11700.0,21.0,31.0,33.0,20.0,15.0,Mendrisio
2022-12-15,10900.0,32.0,36.0,44.0,31.0,26.0,Mendrisio
2023-01-15,10200.0,22.0,34.0,35.0,26.0,21.0,Mendrisio
2023-02-15,11700.0,21.0,38.0,36.0,39.0,30.0,Mendrisio
2023-03-15,12600.0,11.0,31.0,25.0,26.0,19.0,Mendrisio
2023-04-15,12700.0,8.0,24.0,19.0,15.0,9.0,Mendrisio
2023-05-15,12600.0,5.0,16.0,13.0,12.0,8.0,Mendrisio
2023-06-15,13400.0,4.0,16.0,12.0,15.0,10.0,Mendrisio
2023-07-15,13700.0,5.0,20.0,15.0,16.0,10.0,Mendrisio
2023-08-15,12500.0,4.0,17.0,12.0,15.0,9.0,Mendrisio
2023-09-15,14600.0,6.0,23.0,17.0,17.0,10.0,Mendrisio
2023-10-15,14100.0,9.0,25.0,21.0,21.0,13.0,Mendrisio
2023-11-15,12300.0,17.0,32.0,30.0,15.0,11.0,Mendrisio
2023-12-15,11300.0,25.0,37.0,40.0,25.0,19.0,Mendrisio
2024-01-15,10900.0,28.0,41.0,43.0,32.0,25.0,Mendrisio
2024-02-15,11900.0,18.0,35.0,33.0,29.0,23.0,Mendrisio
2024-03-15,12300.0,7.0,25.0,19.0,18.0,13.0,Mendrisio
2024-04-15,13300.0,6.0,21.0,16.0,14.0,8.0,Mendrisio
2024-05-15,13300.0,5.0,17.0,13.0,10.0,6.0,Mendrisio
2024-06-15,13300.0,4.0,15.0,11.0,17.0,10.0,Mendrisio
2024-07-15,13600.0,4.0,17.0,12.0,17.0,11.0,Mendrisio
2024-08-15,12500.0,3.0,16.0,11.0,17.0,11.0,Mendrisio
2024-09-15,13300.0,5.0,18.0,13.0,9.0,6.0,Mendrisio
2024-10-15,13200.0,10.0,21.0,19.0,14.0,9.0,Mendrisio
2024-11-15,12700.0,22.0,32.0,35.0,30.0,24.0,Mendrisio
2024-12-15,11400.0,30.0,37.0,43.0,28.0,22.0,Mendrisio
